raman_shift,raw_intensity,spike_candidate,processed_intensity
376.584,184.0,False,0.31833910034602075
376.894,204.0,False,0.35294117647058826
377.202,188.0,False,0.32525951557093424
377.512,208.0,False,0.35986159169550175
377.822,182.0,False,0.314878892733564
378.13,194.0,False,0.3356401384083045
378.44,204.0,False,0.35294117647058826
378.75,208.0,False,0.35986159169550175
379.058,196.0,False,0.3391003460207612
379.369,196.0,False,0.3391003460207612
379.677,212.0,False,0.36678200692041524
379.987,198.0,False,0.34256055363321797
380.297,214.0,False,0.370242214532872
380.605,192.0,False,0.33217993079584773
380.915,208.0,False,0.35986159169550175
381.222,188.0,False,0.32525951557093424
381.532,184.0,False,0.31833910034602075
381.842,186.0,False,0.3217993079584775
382.15,204.0,False,0.35294117647058826
382.46,198.0,False,0.34256055363321797
382.77,206.0,False,0.356401384083045
383.078,234.0,False,0.40484429065743943
383.388,218.0,False,0.3771626297577855
383.696,244.0,False,0.42214532871972316
384.006,234.0,False,0.40484429065743943
384.314,246.0,False,0.42560553633217996
384.624,268.0,False,0.46366782006920415
384.933,264.0,False,0.45674740484429066
385.241,320.0,False,0.5536332179930796
385.551,330.0,False,0.5709342560553633
385.859,400.0,False,0.6920415224913494
386.169,434.0,False,0.7508650519031141
386.478,424.0,False,0.7335640138408305
386.786,332.0,False,0.5743944636678201
387.096,266.0,False,0.4602076124567474
387.404,218.0,False,0.3771626297577855
387.714,206.0,False,0.356401384083045
388.021,228.0,False,0.3944636678200692
388.331,184.0,False,0.31833910034602075
388.641,188.0,False,0.32525951557093424
388.948,198.0,False,0.34256055363321797
389.258,190.0,False,0.328719723183391
389.566,176.0,False,0.3044982698961938
389.875,178.0,False,0.3079584775086505
390.183,162.0,False,0.28027681660899656
390.493,186.0,False,0.3217993079584775
390.8,192.0,False,0.33217993079584773
391.11,166.0,False,0.28719723183391005
391.42,178.0,False,0.3079584775086505
391.727,180.0,False,0.31141868512110726
392.037,180.0,False,0.31141868512110726
392.344,180.0,False,0.31141868512110726
392.654,158.0,False,0.27335640138408307
392.962,162.0,False,0.28027681660899656
393.271,192.0,False,0.33217993079584773
393.579,174.0,False,0.30103806228373703
393.888,158.0,False,0.27335640138408307
394.196,158.0,False,0.27335640138408307
394.505,174.0,False,0.30103806228373703
394.813,178.0,False,0.3079584775086505
395.122,172.0,False,0.2975778546712803
395.43,178.0,False,0.3079584775086505
395.739,174.0,False,0.30103806228373703
396.047,172.0,False,0.2975778546712803
396.356,176.0,False,0.3044982698961938
396.664,182.0,False,0.314878892733564
396.973,162.0,False,0.28027681660899656
397.281,186.0,False,0.3217993079584775
397.59,174.0,False,0.30103806228373703
397.899,178.0,False,0.3079584775086505
398.207,190.0,False,0.328719723183391
398.516,190.0,False,0.328719723183391
398.824,174.0,False,0.30103806228373703
399.131,196.0,False,0.3391003460207612
399.44,184.0,False,0.31833910034602075
399.748,194.0,False,0.3356401384083045
400.057,194.0,False,0.3356401384083045
400.364,200.0,False,0.3460207612456747
400.674,184.0,False,0.31833910034602075
400.981,196.0,False,0.3391003460207612
401.29,208.0,False,0.35986159169550175
401.597,212.0,False,0.36678200692041524
401.907,218.0,False,0.3771626297577855
402.214,218.0,False,0.3771626297577855
402.523,242.0,False,0.4186851211072664
402.83,250.0,False,0.43252595155709345
403.14,270.0,False,0.4671280276816609
403.447,290.0,False,0.5017301038062284
403.756,316.0,False,0.5467128027681661
404.063,362.0,False,0.6262975778546713
404.372,394.0,False,0.6816608996539792
404.68,436.0,False,0.754325259515571
404.989,490.0,False,0.8477508650519031
405.296,498.0,False,0.8615916955017301
405.603,526.0,False,0.9100346020761245
405.912,578.0,False,1.0
406.219,562.0,False,0.972318339100346
406.529,504.0,False,0.8719723183391004
406.836,478.0,False,0.8269896193771626
407.145,414.0,False,0.7162629757785467
407.452,354.0,False,0.6124567474048442
407.761,322.0,False,0.5570934256055363
408.068,310.0,False,0.5363321799307958
408.375,286.0,False,0.49480968858131485
408.684,254.0,False,0.43944636678200694
408.991,250.0,False,0.43252595155709345
409.3,238.0,False,0.4117647058823529
409.607,238.0,False,0.4117647058823529
409.916,216.0,False,0.3737024221453287
410.223,206.0,False,0.356401384083045
410.53,212.0,False,0.36678200692041524
410.839,226.0,False,0.39100346020761245
411.146,200.0,False,0.3460207612456747
411.455,214.0,False,0.370242214532872
411.762,210.0,False,0.3633217993079585
412.069,194.0,False,0.3356401384083045
412.378,198.0,False,0.34256055363321797
412.685,196.0,False,0.3391003460207612
412.993,190.0,False,0.328719723183391
413.3,206.0,False,0.356401384083045
413.607,204.0,False,0.35294117647058826
413.916,196.0,False,0.3391003460207612
414.223,192.0,False,0.33217993079584773
